state,description,priority,creation_timestamp_ms,update_timestamp_ms,start_timestamp_ms,task_type,destination_uris,attempt,batch_eecu_usage_seconds,id,name
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_registration-10m,100,1712963622106,1712964076174,1712963625815,EXPORT_IMAGE,['https://drive.google.com/'],1,203.21791076660156,TVTFNRESLLEPZXZ2IZOCEPNZ,projects/earthengine-legacy/operations/TVTFNRESLLEPZXZ2IZOCEPNZ
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_registration-10m,100,1712963622607,1712964024274,1712963629858,EXPORT_IMAGE,['https://drive.google.com/'],1,207.25222778320312,PDHAP6QNMEQTJZ2EZNA74J2T,projects/earthengine-legacy/operations/PDHAP6QNMEQTJZ2EZNA74J2T
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_registration-10m,100,1712963623095,1712964019027,1712963629862,EXPORT_IMAGE,['https://drive.google.com/'],1,186.258056640625,2PCDHDMFLWYD44KM4QS3IBIZ,projects/earthengine-legacy/operations/2PCDHDMFLWYD44KM4QS3IBIZ
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_cloudprobability-10m,100,1712963625046,1712964122727,1712963629861,EXPORT_IMAGE,['https://drive.google.com/'],1,126.34783172607422,BZ2SXLMDE4QMLPZDHEG46AGK,projects/earthengine-legacy/operations/BZ2SXLMDE4QMLPZDHEG46AGK
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_cloudprobability-10m,100,1712963626171,1712964050738,1712963633562,EXPORT_IMAGE,['https://drive.google.com/'],1,166.9163360595703,YP5QANRHH6FER5MCSEUAW7R7,projects/earthengine-legacy/operations/YP5QANRHH6FER5MCSEUAW7R7
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_cloudprobability-10m,100,1712963624512,1712964023606,1712963629860,EXPORT_IMAGE,['https://drive.google.com/'],1,137.71124267578125,VIDYCPCKRMR5QKWWTQPKAJ5T,projects/earthengine-legacy/operations/VIDYCPCKRMR5QKWWTQPKAJ5T
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_cloudprobability-10m,100,1712963625612,1712964012806,1712963633564,EXPORT_IMAGE,['https://drive.google.com/'],1,119.5000228881836,SVGZSWRJRDDX2KIVHNJ3BKVU,projects/earthengine-legacy/operations/SVGZSWRJRDDX2KIVHNJ3BKVU
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_bands-20m,100,1712963628441,1712964422662,1712964023759,EXPORT_IMAGE,['https://drive.google.com/'],1,47.304996490478516,EV3YV3CFEVFXBY3RMSY5AWLL,projects/earthengine-legacy/operations/EV3YV3CFEVFXBY3RMSY5AWLL
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_bands-20m,100,1712963628980,1712964374364,1712964027965,EXPORT_IMAGE,['https://drive.google.com/'],1,60.14230728149414,Z4UALOSJJ5UVZKPENA4YWIHA,projects/earthengine-legacy/operations/Z4UALOSJJ5UVZKPENA4YWIHA
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_bands-20m,100,1712963627329,1712964366562,1712964023757,EXPORT_IMAGE,['https://drive.google.com/'],1,64.54176330566406,FWU33JAY4CLJTGGSBHSNZVDF,projects/earthengine-legacy/operations/FWU33JAY4CLJTGGSBHSNZVDF
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_bands-20m,100,1712963627891,1712964329404,1712964023761,EXPORT_IMAGE,['https://drive.google.com/'],1,67.87480926513672,QNCFCAPT35TX5VLSVHVMAVWG,projects/earthengine-legacy/operations/QNCFCAPT35TX5VLSVHVMAVWG
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_bands-10m,100,1712963618791,1712964229367,1712963625813,EXPORT_IMAGE,['https://drive.google.com/'],1,282.0739440917969,57DNVGYIVVQHCPMQUNVU5KKQ,projects/earthengine-legacy/operations/57DNVGYIVVQHCPMQUNVU5KKQ
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_bands-10m,100,1712963618280,1712964075804,1712963625814,EXPORT_IMAGE,['https://drive.google.com/'],1,283.4320983886719,R7EDXOFUEQTNP4B4RISJ6XMN,projects/earthengine-legacy/operations/R7EDXOFUEQTNP4B4RISJ6XMN
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_bands-10m,100,1712963617745,1712964040788,1712963625815,EXPORT_IMAGE,['https://drive.google.com/'],1,251.67364501953125,36YJDUFV34BLDZSHOHSNITBS,projects/earthengine-legacy/operations/36YJDUFV34BLDZSHOHSNITBS
COMPLETED,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-04-10T101601_bands-10m,100,1712963617204,1712964026610,1712963620667,EXPORT_IMAGE,['https://drive.google.com/'],1,358.2353210449219,IXY5QP7REDDGX27UYKXMUBPH,projects/earthengine-legacy/operations/IXY5QP7REDDGX27UYKXMUBPH
