Product,LastSceneDate,RunDate,Status
NDVI-MAX,2024-02-15,2024-02-15,complete
ch.swisstopo.swisseo_vhi_v100,2026-01-21,2026-01-21,complete
ch.swisstopo.swisseo_s2-sr_v100,2026-01-21,2026-01-25T22:03,complete
